src,trg,pred,methodology
किसी ऐसे व्यक्ति को देखना स्फूर्ति से भर देता है जो इतना समझदार और एजी है।,किसी ऐसे व्यक्ति को देखना स्फूर्ति से भर देता है जो समझदार और एजी है।,किसी ऐसे व्यक्ति को देखना स्फूर्ति से भर देता है जो इतना समझदार और एजी है।,knowledge_transfer
चूतिए तू मुझे अकेला छोड़ दे!,कृपया मुझे अकेला छोड़ दो,मुझे अकेला छोड़ दें!,knowledge_transfer
"तो वे अंत में खुद की गाँड मरवाएँगे, मस्त योजना है ।","तो वे अंतत: चले जाएँगे, अच्छी योजना है।","तो वे अंत में खुद की गाँड मरवाएँगे, मस्त योजना है",knowledge_transfer
इसलिए अपना मूँह बंद रख जब तक तू नहीं जानता कि यह तू क्या बात कर रहा  है।,इसलिए चुप रहो जब तक आप जानते नहीं कि आप किस बारे में बात कर रहे हैं।,इसलिए अपना मूँह बंद रख जब तक तक तू नहीं जानता कि यह तू क्या बात कर रहा है,knowledge_transfer
जानबूझकर अज्ञानी को छोड़ा या क्षमा नहीं किया जा सकता है जैसा कि उन लोगों को किया जा सकता है जिनकी अज्ञानता मूल प्रविर्ती है।,"जिनकी अज्ञानता जानबूझकर अज्ञानी के विपरीत मूल प्रविर्ती है, उन्हें छोड़ा या क्षमा नहीं किया जा सकता है।",अज्ञानी को छोड़ा या क्षमा नहीं किया जा सकता है जैसा कि उन लोगों को किया जा सकता है जिनकी अज्ञानता मूल प्रविर्ती है।,knowledge_transfer
जीआरई प्रैक्टिस टेस्टों में गांड मरवाने से यह सुनिश्चित हो गया कि मैं फिर कभी वही गलती न करूं।,जीआरई प्रैक्टिस टेस्ट में विफल होकर सबक लेने के बाद मैं कभी भी यही गलती नहीं करूंगा।,जीआरई प्रैक्टिस टेस्टों में गांड मरवाने से यह सुनिश्चित हो गया कि मैं फिर कभी वही गलती न करूं,knowledge_transfer
ये नस्लवादी गुंडे अभी तक जेल में क्यों नहीहैं?,ये गुंडे अभी तक जेल में क्यों नही हैं?,ये नस्लवादी गुंडे अभी जेल में क्यों नहीहैं?,knowledge_transfer
ट्रम्प का महाभियोग वास्तव में मूर्ख विचार है।,ट्रम्प का महाभियोग वास्तव में एक बुरा विचार है।,ट्रम्प का महाभियोग वास्तव में गलत विचार है।,knowledge_transfer
"तेरे प्रश्न अजीब हैं, क्या तू बलात्कारी है?","आपके प्रश्न विषम हैं, क्या आपके उल्टे इरादे हैं?","तेरे प्रश्न अजीब हैं, क्या तू बलात्कारी है?",knowledge_transfer
"अगर तू गधे जैसे काम करेगा, तो तुझे विकिपीडिया के संपादन से अवरुद्ध कर दिया जाएगा।","यदि आप अपने काम के लिए अपने दृष्टिकोण पर गलत हैं, तो आपको विकिपीडिया के संपादन से बंद कर दिया जाएगा।","अगर तू विकिपीडिया के संपादन से अवरुद्ध करेगा, तो विकिपीडिया के संपादन से अवरुद्ध कर दिया जाएगा।",knowledge_transfer
